robot_x,robot_y,robot_z,aurora_x,aurora_y,aurora_z,diff
-50.0,-320.0,60.0,nan,nan,nan,nan
-50.0,-320.0,40.0,nan,nan,nan,nan
-50.0,-340.0,200.0,-11.97,-1.49,-214.19,2.3366668568711297
-50.0,-340.0,180.0,-14.58,-0.58,-213.11,5.231417781060883
-50.0,-340.0,160.0,-18.44,0.75,-211.09,9.720670347254865
-50.0,-340.0,140.0,-23.18,2.16,-208.55,15.24010931719323
-50.0,-340.0,120.0,-26.39,2.83,-206.62,18.993720857167506
-50.0,-340.0,100.0,-23.78,1.95,-206.53,16.554936182299226
-50.0,-340.0,80.0,-14.16,-1.46,-209.33,6.661180976373476
-50.0,-340.0,60.0,nan,nan,nan,nan
-50.0,-340.0,40.0,nan,nan,nan,nan
-50.0,-360.0,200.0,-11.64,-2.06,-214.42000000000002,1.8441561755990206
-50.0,-360.0,180.0,-14.19,-1.01,-213.5,4.650298054963789
-50.0,-360.0,160.0,-18.36,0.9400000000000001,-211.76,9.513873659030796
-50.0,-360.0,140.0,-24.060000000000002,3.94,-209.41,16.337536289171638
-50.0,-360.0,120.0,-28.6,6.83,-207.4,22.036558079700196
-50.0,-360.0,100.0,nan,nan,nan,nan
-50.0,-360.0,80.0,nan,nan,nan,nan
-50.0,-360.0,60.0,nan,nan,nan,nan
-50.0,-360.0,40.0,nan,nan,nan,nan
-50.0,-380.0,200.0,-10.89,-2.83,-214.82,1.2319707788742364
-50.0,-380.0,180.0,-12.89,-2.06,-214.3,3.0740806755841663
-50.0,-380.0,160.0,-16.51,-0.06,-213.06,7.191654329846508
-50.0,-380.0,140.0,-21.91,3.5100000000000002,-211.0,13.858262228721177
-50.0,-380.0,120.0,-26.89,7.66,-208.92000000000002,20.537301964961216
-50.0,-380.0,100.0,nan,nan,nan,nan
-50.0,-380.0,80.0,nan,nan,nan,nan
-50.0,-380.0,60.0,nan,nan,nan,nan
-50.0,-380.0,40.0,nan,nan,nan,nan
-50.0,-400.0,200.0,-10.18,-3.5,-215.16,1.4012394513429853
-50.0,-400.0,180.0,-11.5,-3.13,-215.02,1.9336111294673528
-50.0,-400.0,160.0,-14.07,-1.6500000000000001,-214.26,4.304099441230419
-50.0,-400.0,140.0,-18.17,1.51,-212.67000000000002,9.364452573428945
-50.0,-400.0,120.0,-22.59,5.48,-210.8,15.415261658499343
-50.0,-400.0,100.0,nan,nan,nan,nan
-50.0,-400.0,80.0,nan,nan,nan,nan
-50.0,-400.0,60.0,nan,nan,nan,nan
-50.0,-400.0,40.0,-13.26,4.63,-209.66,9.127136023967214
-40.0,-240.0,200.0,-9.92,-1.82,-216.06,1.8652913981466812
-40.0,-240.0,180.0,-10.22,-2.14,-216.11,1.8704149272287265
-40.0,-240.0,160.0,-10.58,-2.91,-215.53,1.5059322693932813
-40.0,-240.0,140.0,-11.16,-4.44,-213.87,2.432030427441236
-40.0,-240.0,120.0,-12.07,-6.68,-211.3,5.6516026045715515
-40.0,-240.0,100.0,nan,nan,nan,nan
-40.0,-240.0,80.0,nan,nan,nan,nan
-40.0,-240.0,60.0,nan,nan,nan,nan
-40.0,-240.0,40.0,nan,nan,nan,nan
-40.0,-260.0,200.0,-10.21,-1.75,-216.02,1.8876419151947301
-40.0,-260.0,180.0,-10.72,-2.15,-215.96,1.8982023074477654
-40.0,-260.0,160.0,-11.39,-3.21,-215.11,1.9075880058335501
-40.0,-260.0,140.0,-12.31,-5.32,-212.97,4.018934187070001
-40.0,-260.0,120.0,-13.61,-8.55,-209.93,8.404047358267324
-40.0,-260.0,100.0,nan,nan,nan,nan
-40.0,-260.0,80.0,nan,nan,nan,nan
-40.0,-260.0,60.0,nan,nan,nan,nan
-40.0,-260.0,40.0,nan,nan,nan,nan
-40.0,-280.0,200.0,-10.620000000000001,-1.61,-215.65,1.7651266243530552
-40.0,-280.0,180.0,-11.46,-1.92,-215.31,1.9776278719718743
-40.0,-280.0,160.0,-12.59,-3.0100000000000002,-214.12,2.8136652252888936
-40.0,-280.0,140.0,-13.950000000000001,-5.3500000000000005,-211.69,5.671854370485903
-40.0,-280.0,120.0,-15.35,-9.1,-208.74,10.277185023147142
-40.0,-280.0,100.0,nan,nan,nan,nan
-40.0,-280.0,80.0,nan,nan,nan,nan
-40.0,-280.0,60.0,nan,nan,nan,nan
-40.0,-280.0,40.0,-7.390000000000001,-8.25,-213.59,6.34207631616019
-40.0,-300.0,200.0,-11.16,-1.45,-215.02,1.800858684072688
-40.0,-300.0,180.0,-12.5,-1.48,-214.36,2.8298466389541326
-40.0,-300.0,160.0,-14.3,-2.1,-212.78,4.725728726873773
-40.0,-300.0,140.0,-16.25,-3.92,-210.28,7.710982557365826
-40.0,-300.0,120.0,-17.55,-7.15,-207.79,11.136549375816557
-40.0,-300.0,100.0,-16.52,-11.290000000000001,-206.49,13.562179470866765
-40.0,-300.0,80.0,nan,nan,nan,nan
