robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
115.0,-10.0,-290.0,0.0,0.0,180.0,13.08,-10.58,-164.2,-0.835,0.55,-0.0,0.019,0.047
115.0,-10.0,-310.0,0.0,0.0,180.0,12.82,-11.15,-144.53,-0.835,0.55,0.002,0.019,0.035
115.0,-10.0,-330.0,0.0,0.0,180.0,12.7,-11.88,-124.58,-0.834,0.552,0.003,0.019,0.027
115.0,-10.0,-350.0,0.0,0.0,180.0,12.63,-12.34,-104.85,-0.833,0.553,0.006,0.019,0.028
115.0,10.0,-250.0,0.0,0.0,180.0,13.12,10.1,-203.31,-0.838,0.546,-0.005,0.016,0.079
115.0,10.0,-270.0,0.0,0.0,180.0,13.1,9.68,-183.86,-0.836,0.549,-0.003,0.017,0.069
115.0,10.0,-290.0,0.0,0.0,180.0,12.93,9.13,-163.96,-0.834,0.551,-0.001,0.018,0.062
115.0,10.0,-310.0,0.0,0.0,180.0,12.7,8.64,-144.28,-0.834,0.552,0.002,0.018,0.056
115.0,10.0,-330.0,0.0,0.0,180.0,12.58,7.89,-124.33,-0.832,0.554,0.003,0.018,0.048
115.0,10.0,-350.0,0.0,0.0,180.0,12.62,7.2,-104.6,-0.831,0.556,0.005,0.018,0.047
115.0,30.0,-250.0,0.0,0.0,180.0,13.06,29.47,-203.48,-0.837,0.547,-0.005,0.015,0.082
115.0,30.0,-270.0,0.0,0.0,180.0,12.97,29.1,-183.71,-0.835,0.55,-0.003,0.016,0.076
115.0,30.0,-290.0,0.0,0.0,180.0,12.78,28.67,-163.76,-0.834,0.551,-0.001,0.016,0.072
115.0,30.0,-310.0,0.0,0.0,180.0,12.61,28.17,-144.09,-0.833,0.553,0.001,0.017,0.072
115.0,30.0,-330.0,0.0,0.0,180.0,12.53,27.89,-124.09,-0.832,0.555,0.004,0.018,0.071
115.0,30.0,-350.0,0.0,0.0,180.0,12.36,27.04,-104.28,-0.83,0.557,0.005,0.018,0.063
115.0,50.0,-250.0,0.0,0.0,180.0,12.98,48.92,-203.54,-0.837,0.547,-0.004,0.014,0.081
115.0,50.0,-270.0,0.0,0.0,180.0,13.04,48.72,-183.7,-0.835,0.55,-0.002,0.015,0.076
115.0,50.0,-290.0,0.0,0.0,180.0,12.79,48.38,-163.66,-0.834,0.551,-0.0,0.016,0.076
115.0,50.0,-310.0,0.0,0.0,180.0,12.6,47.89,-143.94,-0.832,0.554,0.002,0.016,0.079
115.0,50.0,-330.0,0.0,0.0,180.0,12.39,47.49,-123.74,-0.831,0.556,0.004,0.018,0.081
115.0,50.0,-350.0,0.0,0.0,180.0,12.18,46.78,-103.84,-0.83,0.557,0.006,0.017,0.075
135.0,-50.0,-250.0,0.0,0.0,180.0,-6.36,-49.27,-203.92,-0.843,0.537,-0.006,0.019,0.109
135.0,-50.0,-270.0,0.0,0.0,180.0,-6.18,-49.94,-184.39,-0.841,0.541,-0.004,0.02,0.08
135.0,-50.0,-290.0,0.0,0.0,180.0,-6.34,-50.24,-164.76,-0.838,0.545,-0.003,0.02,0.048
135.0,-50.0,-310.0,0.0,0.0,180.0,-6.43,-51.14,-145.18,-0.835,0.549,-0.001,0.021,0.019
