robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
300.0,-0.0,125.0,-180.0,0.0,-0.0,1.59,5.63,-131.69,-0.821,0.571,-0.002,0.011,0.056
300.0,-0.0,137.5,-180.0,-0.0,-0.0,-10.86,5.55,-131.62,-0.822,0.569,-0.002,0.012,0.064
300.0,-0.0,150.0,-180.0,-0.0,-0.0,-23.05,5.18,-131.96,-0.823,0.567,-0.002,0.01,0.076
300.0,12.5,100.0,-180.0,-0.0,-0.0,26.38,18.31,-131.34,-0.819,0.574,-0.001,0.012,0.064
300.0,12.5,112.5,-180.0,0.0,-0.0,14.22,18.31,-131.86,-0.82,0.572,-0.001,0.011,0.064
300.0,12.5,125.0,-180.0,-0.0,-0.0,1.53,17.96,-131.74,-0.82,0.572,-0.002,0.01,0.068
300.0,12.5,137.5,-180.0,-0.0,-0.0,-10.9,17.91,-131.71,-0.822,0.57,-0.002,0.01,0.076
300.0,12.5,150.0,-180.0,-0.0,-0.0,-23.1,17.67,-132.0,-0.822,0.569,-0.002,0.01,0.089
300.0,25.0,100.0,-180.0,0.0,-0.0,26.35,30.56,-131.48,-0.818,0.574,-0.002,0.011,0.074
300.0,25.0,112.5,-180.0,-0.0,-0.0,14.17,30.45,-131.87,-0.819,0.574,-0.001,0.011,0.075
300.0,25.0,125.0,-180.0,-0.0,-0.0,1.48,30.25,-131.81,-0.82,0.572,-0.001,0.011,0.078
300.0,25.0,137.5,-180.0,0.0,-0.0,-10.87,30.17,-131.83,-0.821,0.571,-0.002,0.011,0.086
300.0,25.0,150.0,-180.0,-0.0,-0.0,-23.08,29.92,-132.08,-0.822,0.57,-0.002,0.011,0.099
312.5,-25.0,100.0,-180.0,0.0,-0.0,26.56,-19.0,-119.02,-0.822,0.569,-0.0,0.012,0.024
312.5,-25.0,112.5,-180.0,0.0,-0.0,14.26,-19.1,-119.15,-0.821,0.571,-0.0,0.012,0.023
312.5,-25.0,125.0,-180.0,0.0,-0.0,1.65,-19.27,-118.95,-0.821,0.57,-0.001,0.012,0.029
312.5,-25.0,137.5,-180.0,0.0,-0.0,-10.72,-19.22,-119.26,-0.823,0.568,-0.001,0.012,0.037
312.5,-25.0,150.0,-180.0,-0.0,-0.0,-23.06,-19.54,-119.17,-0.824,0.566,-0.002,0.011,0.048
312.5,-12.5,100.0,-180.0,0.0,-0.0,26.43,-6.6,-118.98,-0.821,0.571,0.0,0.013,0.033
312.5,-12.5,112.5,-180.0,0.0,-0.0,14.25,-6.52,-119.33,-0.821,0.571,-0.0,0.012,0.034
312.5,-12.5,125.0,-180.0,0.0,-0.0,1.58,-6.98,-119.05,-0.821,0.571,-0.001,0.012,0.039
312.5,-12.5,137.5,-180.0,0.0,-0.0,-10.77,-6.86,-119.35,-0.822,0.569,-0.0,0.011,0.048
312.5,-12.5,150.0,-180.0,0.0,-0.0,-23.24,-7.25,-119.23,-0.824,0.567,-0.002,0.011,0.058
312.5,-0.0,100.0,-180.0,0.0,-0.0,26.39,5.73,-118.93,-0.819,0.574,-0.0,0.013,0.048
312.5,-0.0,112.5,-180.0,-0.0,-0.0,14.2,5.82,-119.4,-0.82,0.572,0.0,0.012,0.048
312.5,-0.0,125.0,-180.0,-0.0,-0.0,1.51,5.52,-119.11,-0.82,0.571,-0.001,0.012,0.051
312.5,-0.0,137.5,-180.0,0.0,-0.0,-10.82,5.28,-119.42,-0.822,0.57,-0.0,0.011,0.059
312.5,-0.0,150.0,-180.0,0.0,-0.0,-23.35,5.15,-119.25,-0.823,0.568,-0.001,0.01,0.07
312.5,12.5,100.0,-180.0,-0.0,-0.0,26.38,18.17,-119.0,-0.818,0.575,-0.0,0.012,0.062
312.5,12.5,112.5,-180.0,-0.0,-0.0,14.14,18.26,-119.45,-0.819,0.573,-0.0,0.011,0.062
312.5,12.5,125.0,-180.0,-0.0,-0.0,1.48,17.89,-119.18,-0.82,0.572,-0.001,0.011,0.064
312.5,12.5,137.5,-180.0,0.0,-0.0,-10.88,17.89,-119.47,-0.821,0.57,0.0,0.011,0.07
312.5,12.5,150.0,-180.0,-0.0,-0.0,-23.33,17.5,-119.38,-0.822,0.569,-0.002,0.01,0.082
312.5,25.0,100.0,-180.0,0.0,-0.0,26.36,30.37,-119.15,-0.818,0.575,-0.0,0.011,0.073
312.5,25.0,112.5,-180.0,-0.0,-0.0,14.13,30.28,-119.48,-0.818,0.574,-0.0,0.01,0.074
312.5,25.0,125.0,-180.0,-0.0,-0.0,1.42,30.11,-119.2,-0.819,0.573,-0.001,0.011,0.074
312.5,25.0,137.5,-180.0,-0.0,-0.0,-10.94,30.08,-119.53,-0.82,0.571,0.0,0.011,0.081
312.5,25.0,150.0,-180.0,-0.0,-0.0,-23.24,29.75,-119.47,-0.821,0.57,-0.001,0.01,0.092
325.0,-25.0,100.0,-180.0,-0.0,-0.0,26.39,-19.22,-106.39,-0.823,0.568,0.001,0.012,0.033
325.0,-25.0,112.5,-180.0,0.0,-0.0,14.12,-19.33,-106.7,-0.821,0.571,0.001,0.012,0.027
325.0,-25.0,125.0,-180.0,0.0,-0.0,1.62,-19.52,-106.58,-0.82,0.572,0.0,0.012,0.031
325.0,-25.0,137.5,-180.0,0.0,-0.0,-10.77,-19.58,-106.84,-0.821,0.57,0.0,0.011,0.037
325.0,-25.0,150.0,-180.0,-0.0,-0.0,-23.19,-19.8,-106.81,-0.823,0.568,-0.0,0.011,0.045
325.0,-12.5,100.0,-180.0,-0.0,-0.0,26.27,-6.82,-106.38,-0.821,0.571,0.001,0.013,0.036
325.0,-12.5,112.5,-180.0,0.0,-0.0,14.12,-6.73,-106.84,-0.82,0.572,0.001,0.012,0.036
325.0,-12.5,125.0,-180.0,0.0,-0.0,1.52,-7.15,-106.63,-0.82,0.572,-0.0,0.011,0.039
325.0,-12.5,137.5,-180.0,0.0,-0.0,-10.84,-7.08,-106.93,-0.821,0.571,0.001,0.011,0.047
