robot_x,robot_y,robot_z,robot_roll,robot_pitch,robot_yaw,aurora_x,aurora_y,aurora_z,aurora_quat_x,aurora_quat_y,aurora_quat_z,aurora_quat_w,aurora_quality
250.0,30.0,135.0,-180.0,-0.0,-0.0,-7.14,22.65,-194.47,0.523,0.851,-0.009,0.049,0.131
250.0,30.0,145.0,-180.0,-0.0,-0.0,-16.76,22.64,-194.48,0.524,0.85,-0.009,0.051,0.137
250.0,30.0,155.0,-180.0,-0.0,-0.0,-26.34,22.44,-194.86,0.524,0.85,-0.008,0.051,0.137
250.0,30.0,165.0,-180.0,-0.0,-0.0,-36.1,22.25,-194.92,0.526,0.849,-0.008,0.053,0.128
250.0,30.0,175.0,-180.0,-0.0,-0.0,-45.79,22.47,-195.41,0.527,0.848,-0.007,0.053,0.109
250.0,40.0,75.0,-180.0,-0.0,-0.0,51.22,33.33,-194.77,0.521,0.852,-0.012,0.044,0.106
250.0,40.0,85.0,-180.0,0.0,-0.0,41.49,33.35,-194.93,0.521,0.852,-0.012,0.044,0.11
250.0,40.0,95.0,-180.0,-0.0,-0.0,31.65,33.08,-194.71,0.522,0.852,-0.012,0.046,0.111
250.0,40.0,105.0,-180.0,-0.0,-0.0,21.99,33.16,-194.86,0.521,0.852,-0.011,0.046,0.114
250.0,40.0,115.0,-180.0,0.0,-0.0,12.23,32.86,-194.84,0.522,0.851,-0.011,0.047,0.117
250.0,40.0,125.0,-180.0,-0.0,-0.0,2.59,32.68,-194.97,0.523,0.851,-0.011,0.048,0.123
250.0,40.0,135.0,-180.0,-0.0,-0.0,-7.2,32.56,-194.96,0.523,0.851,-0.009,0.049,0.128
250.0,40.0,145.0,-180.0,-0.0,-0.0,-16.76,32.37,-194.95,0.524,0.85,-0.01,0.051,0.127
250.0,40.0,155.0,-180.0,-0.0,-0.0,-26.42,32.34,-195.36,0.525,0.849,-0.008,0.051,0.125
250.0,40.0,165.0,-180.0,-0.0,-0.0,-36.1,32.32,-195.44,0.528,0.848,-0.008,0.053,0.107
250.0,40.0,175.0,-180.0,-0.0,-0.0,-45.91,32.12,-195.79,0.53,0.846,-0.006,0.053,0.086
250.0,50.0,75.0,-180.0,0.0,-0.0,51.32,43.13,-195.14,0.521,0.852,-0.012,0.045,0.107
250.0,50.0,85.0,-180.0,-0.0,-0.0,41.62,43.05,-195.29,0.521,0.852,-0.012,0.045,0.11
250.0,50.0,95.0,-180.0,-0.0,-0.0,31.73,42.92,-195.18,0.521,0.852,-0.011,0.046,0.111
250.0,50.0,105.0,-180.0,0.0,-0.0,21.98,42.84,-195.2,0.521,0.852,-0.011,0.047,0.113
250.0,50.0,115.0,-180.0,-0.0,-0.0,12.26,42.66,-195.25,0.522,0.852,-0.011,0.048,0.116
250.0,50.0,125.0,-180.0,-0.0,-0.0,2.49,42.51,-195.36,0.522,0.851,-0.011,0.048,0.118
250.0,50.0,135.0,-180.0,-0.0,-0.0,-7.1,42.32,-195.45,0.523,0.851,-0.01,0.049,0.117
250.0,50.0,145.0,-180.0,0.0,-0.0,-16.76,42.12,-195.45,0.525,0.85,-0.01,0.051,0.116
250.0,50.0,155.0,-180.0,-0.0,-0.0,-26.48,42.12,-195.78,0.525,0.849,-0.009,0.051,0.105
250.0,50.0,165.0,-180.0,0.0,-0.0,-36.17,41.93,-195.88,0.528,0.848,-0.009,0.053,0.086
250.0,50.0,175.0,-180.0,0.0,-0.0,-45.92,41.69,-196.17,0.53,0.846,-0.008,0.053,0.058
260.0,-50.0,75.0,-180.0,0.0,-0.0,51.19,-54.35,-181.0,0.523,0.851,-0.005,0.042,0.125
260.0,-50.0,85.0,-180.0,-0.0,-0.0,41.45,-54.29,-181.21,0.523,0.851,-0.006,0.044,0.113
260.0,-50.0,95.0,-180.0,0.0,-0.0,31.7,-54.53,-181.08,0.523,0.851,-0.005,0.045,0.103
260.0,-50.0,105.0,-180.0,-0.0,-0.0,22.11,-54.65,-181.38,0.523,0.851,-0.004,0.046,0.092
260.0,-50.0,115.0,-180.0,0.0,-0.0,12.47,-54.8,-181.43,0.522,0.852,-0.003,0.047,0.085
260.0,-50.0,125.0,-180.0,-0.0,-0.0,2.86,-54.77,-181.81,0.519,0.853,-0.003,0.047,0.088
260.0,-50.0,135.0,-180.0,-0.0,-0.0,-7.0,-54.95,-181.9,0.516,0.855,-0.003,0.048,0.095
260.0,-50.0,145.0,-180.0,0.0,-0.0,-16.82,-55.21,-182.01,0.511,0.858,-0.004,0.048,0.112
